l,l2,e,e2,x,lambda,energy
686,8606,0,6408,,"686,8606","0,6408"
690,6548,0,6419,,"690,6548","0,6419"
694,3158,0,6397,,"694,3158","0,6397"
697,9769,0,6397,,"697,9769","0,6397"
701,6379,0,6397,,"701,6379","0,6397"
705,2990,0,6397,,"705,299","0,6397"
708,9600,0,6397,,"708,96","0,6397"
712,6210,0,6397,,"712,621","0,6397"
716,2821,0,6397,,"716,2821","0,6397"
719,9431,0,6397,,"719,9431","0,6397"
723,6042,0,6397,,"723,6042","0,6397"
727,2652,0,6397,,"727,2652","0,6397"
730,9262,0,6397,,"730,9262","0,6397"
734,5873,0,6397,,"734,5873","0,6397"
738,2483,0,6397,,"738,2483","0,6397"
741,9094,0,6397,,"741,9094","0,6397"
745,5704,0,6397,,"745,5704","0,6397"
749,2314,0,6397,,"749,2314","0,6397"
752,8925,0,6397,,"752,8925","0,6397"
756,5535,0,6397,,"756,5535","0,6397"
760,2146,0,6397,,"760,2146","0,6397"
763,8756,0,6397,,"763,8756","0,6397"
767,5366,0,6397,,"767,5366","0,6397"
771,1977,0,6397,,"771,1977","0,6397"
774,8587,0,6399,,"774,8587","0,6399"
778,5198,0,6404,,"778,5198","0,6404"
782,1808,0,6410,,"782,1808","0,641"
785,8418,0,6413,,"785,8418","0,6413"
789,5029,0,6427,,"789,5029","0,6427"
793,1639,0,6446,,"793,1639","0,6446"
796,8250,0,6479,,"796,825","0,6479"
800,4860,0,6529,,"800,486","0,6529"
804,1470,0,6598,,"804,147","0,6598"
807,8081,0,6693,,"807,8081","0,6693"
811,4691,0,6814,,"811,4691","0,6814"
814,9637,0,6953,,"814,9637","0,6953"
818,1255,0,7095,,"818,1255","0,7095"
820,9545,0,7231,,"820,9545","0,7231"
823,6171,0,7365,,"823,6171","0,7365"
826,2797,0,7505,,"826,2797","0,7505"
828,9423,0,7655,,"828,9423","0,7655"
831,2720,0,7803,,"831,272","0,7803"
833,2689,0,7950,,"833,2689","0,795"
835,995,0,8096,,"835,0995","0,8096"
836,7636,0,8252,,"836,7636","0,8252"
838,2613,0,8406,,"838,2613","0,8406"
839,5925,0,8553,,"839,5925","0,8553"
840,9238,0,8717,,"840,9238","0,8717"
842,887,0,8863,,"842,0887","0,8863"
843,2536,0,9013,,"843,2536","0,9013"
844,5849,0,9187,,"844,5849","0,9187"
845,9162,0,9349,,"845,9162","0,9349"
847,2474,0,9502,,"847,2474","0,9502"
848,7451,0,9650,,"848,7451","0,965"
850,9085,0,9805,,"850,9085","0,9805"
854,703,0,9858,,"854,0703","0,9858"
856,7329,0,9739,,"856,7329","0,9739"
858,2306,0,9593,,"858,2306","0,9593"
859,3954,0,9453,,"859,3954","0,9453"
860,3939,0,9309,,"860,3939","0,9309"
861,3924,0,9156,,"861,3924","0,9156"
862,3908,0,8990,,"862,3908","0,899"
863,3893,0,8813,,"863,3893","0,8813"
864,3878,0,8629,,"864,3878","0,8629"
865,3862,0,8446,,"865,3862","0,8446"
866,3847,0,8262,,"866,3847","0,8262"
867,3832,0,8086,,"867,3832","0,8086"
868,3816,0,7913,,"868,3816","0,7913"
869,3801,0,7740,,"869,3801","0,774"
870,3786,0,7588,,"870,3786","0,7588"
871,5434,0,7418,,"871,5434","0,7418"
872,8747,0,7239,,"872,8747","0,7239"
874,2060,0,7087,,"874,206","0,7087"
875,7037,0,6938,,"875,7037","0,6938"
877,5342,0,6790,,"877,5342","0,679"
880,304,0,6645,,"880,0304","0,6645"
883,3586,0,6522,,"883,3586","0,6522"
887,197,0,6452,,"887,0197","0,6452"
890,6807,0,6421,,"890,6807","0,6421"
894,3417,0,6410,,"894,3417","0,641"
898,28,0,6404,,"898,0028","0,6404"
901,6638,0,6398,,"901,6638","0,6398"
905,3248,0,6397,,"905,3248","0,6397"
908,9859,0,6397,,"908,9859","0,6397"
912,6469,0,6397,,"912,6469","0,6397"
916,3080,0,6397,,"916,308","0,6397"
919,9690,0,6397,,"919,969","0,6397"
923,6300,0,6397,,"923,63","0,6397"
927,2911,0,6397,,"927,2911","0,6397"
930,9521,0,6397,,"930,9521","0,6397"
933,9475,0,6397,,"933,9475","0,6397"